#ID,extended Marcello&Barry,Weirather et al.,Type
Tb427-609,A1,N1,2-1
Tb427-610,A1,N1,2-2
Tb427-611,A2,N2,2-2
Tb427-612,A3,N3,2-1
Tb427-613,A1,N1,2-1
Tb427-614,A2,N2,1
Tb427-615,B2,N4,1
Tb427-616,A1,N1,2-1
Tb427-617,A2,N2,2-2
Tb427-618,A1,N1,2-2
Tb427-619,A1,N1,2-2
Tb427-620,B2,N4,x
Tb427-621,A3,N2,2-1
Tb427-622,A2,N2,2-2
Tb427-623,B2,N4,1
Tb427-624,A2,N2,1
Tb427-625,A2,N2,1
Tb427-626,B1,N4,x
Tb427-627,B1,N4,2-1
Tb427-629,A2,N2,1
Tb427-630,A2,N2,2-2
Tb427-631,B1,N4,2-1
Tb427-632,B2,N4,1
Tb427-633,A2,N2,2-2
Tb427-634,A1,N1,2-1
Tb427-635,A3,N3,1
Tb427-636,A2,N2,2-2
Tb427-637,A2,N2,2-2
Tb427-638,A1,N1,2-2
Tb427-639,A2,N2,2-1
Tb427-640,B2,N4,2-2
Tb427-641,A3,N3,5
Tb427-642,A3,N3,3
Tb427-643,B2,N4,2-2
Tb427-644,A2,N2,1
Tb427-645,A3,N3,2-2
Tb427-646,A1,N1,2-2
Tb427-647,A2,N2,1
Tb427-648,A3,N3,2-1
Tb427-649,A3,N3,2-2
Tb427-650,A3,N3,1
Tb427-651,B1,N4,1
Tb427-652,A3,N3,2-2
Tb427-653,A2,N2,2-2
Tb427-654,A1,N1,2-2
Tb427-655,B2,N4,2-2
Tb427-656,A1,N1,2-2
Tb427-657,A2,N2,3
Tb427-658,A2,N2,2-2
Tb427-659,A3,N2,1
Tb427-660,A3,N3,2-1
Tb427-661,A3,N3,2-2
Tb427-662,A3,N3,2-2
Tb427-663,A3,N3,2-2
Tb427-664,A1,N1,2-2
Tb427-665,B2,N4,2-1
Tb427-666,A2,N2,2-2
Tb427-668,A2,N2,2-2
Tb427-669,B2,N4,2-2
Tb427-670,A3,N2,1
Tb427-671,A3,N3,2-2
Tb427-672,B2,N4,2-2
Tb427-673,B2,N4,3
Tb427-674,B2,N4,3
Tb427-675,B2,N4,3
Tb427-676,B2,N4,1
Tb427-677,B2,N4,3
Tb427-678,B1,N4,3
Tb427-679,B1,N4,1
Tb427-681,B2,N4,3
Tb427-682,B1,N4,3
Tb427-683,A1,N1,2-2
Tb427-685,A1,N1,1
Tb427-686,B1,N4,3
Tb427-689,B1,N4,3
Tb427-690,A1,N1,5
Tb427-691,B1,N4,1
Tb427-692,A2,N2,2-2
Tb427-693,B1,N4,3
Tb427-694,B1,N4,3
Tb427-695,B1,N4,3
Tb427-696,B1,N4,1
Tb427-697,B2,N4,x
Tb427-698,A1,N1,5
Tb427-699,A1,N1,2-1
Tb427-7,A1,N1,2-2
Tb427-700,B1,N4,3
Tb427-701,A1,N1,3
Tb427-703,A2,N2,1
Tb427-705,A1,N1,1
Tb427-706,B1,N4,5
Tb427-707,A3,N3,x
Tb427-708,A2,N2,1
Tb427-709,A2,N2,1
Tb427-712,A1,N1,2-1
Tb427-713,A2,N2,1
Tb427-715,B1,N4,3
Tb427-716,A1,N1,1
Tb427-717,A3,N3,2-2
Tb427-718,A2,N2,3
Tb427-719,A3,N3,1
Tb427-720,B2,N4,1
Tb427-721,B1,N4,3
Tb427-722,B2,N4,1
Tb427-723,A2,N2,1
Tb427-724,B2,N4,x
Tb427-725,A2,N2,1
Tb427-726,A2,N2,3
Tb427-727,B1,N4,1
Tb427-728,A1,N1,5
Tb427-729,B1,N4,x
Tb427-730,B1,N4,x
Tb427-731,A2,N2,1
Tb427-732,B1,N4,1
Tb427-733,B1,N4,x
Tb427-734,B1,N4,3
Tb427-735,A3,N2,1
Tb427-736,A2,N2,3
Tb427-737,B2,N4,1
Tb427-738,A2,N2,2-2
Tb427-739,A2,N2,1
Tb427-740,B1,N4,1
Tb427-741,B1,N4,1
Tb427-742,A1,N1,2-2
Tb427-743,B1,N4,3
Tb427-744,A1,N1,3
Tb427-745,A1,N1,2-2
Tb427-746,B2,N4,1
Tb427-747,B2,N4,x
Tb427-753,A2,N2,1
Tb427-754,A2,N2,1
Tb427-755,B1,N4,x
Tb427-757,A3,N3,5
Tb427-758,A1,N1,1
Tb427-759,A2,N2,3
Tb427-760,A2,N2,2-2
Tb427-761,B1,N4,x
Tb427-762,A1,N1,2-1
Tb427-763,A1,N1,2-1
Tb427-764,B1,N4,1
Tb427-765,A1,N1,5
Tb427-766,B1,N4,1
Tb427-767,A2,N2,1
Tb427-768,B1,N4,1
Tb427-769,A3,N3,5
Tb427-771,A3,N3,2-2
Tb427-772,B1,N4,x
Tb427-773,B2,N4,1
Tb427-774,A2,N2,1
Tb427-775,A3,N2,2-1
Tb427-776,A3,N3,2-2
Tb427-777,A3,N3,2-2
Tb427-778,A2,N2,x
Tb427-781,A2,N2,2-2
Tb427-782,B2,N4,3
Tb427-783,B2,N4,3
Tb427-784,A2,N2,3
Tb427-785,A2,N2,1
Tb427-786,A2,N2,1
Tb427-787,A1,N1,5
Tb427-788,B2,N4,3
Tb427-789,B2,N4,3
Tb427-790,A2,N2,1
Tb427-791,B2,N4,3
Tb427-792,A2,N2,3
Tb427-793,B2,N4,3
Tb427-794,B2,N4,3
Tb427-795,B1,N4,1
Tb427-796,A2,N2,2-2
Tb427-797,A1,N1,2-2
Tb427-798,B1,N4,1
Tb427-799,B1,N4,3
Tb427-8,A2,N2,1
Tb427-800,B2,N4,1
Tb427-801,B1,N4,1
Tb427-802,A2,N2,1
Tb427-803,B1,N4,3
Tb427-804,A2,N2,2-2
Tb427-805,A2,N2,1
Tb427-806,B1,N4,1
Tb427-807,A2,N2,3
Tb427-808,B2,N4,1
Tb427-809,A3,N3,1
Tb427-810,A1,N1,5
Tb427-811,B1,N4,1
Tb427-812,A3,N3,1
Tb427-813,B2,N4,3
Tb427-814,A1,N1,2-1
Tb427-815,A1,N1,3
Tb427-816,A1,N1,2-1
Tb427-817,A1,N1,5
Tb427-818,B1,N4,1
Tb427-819,A2,N2,2-2
Tb427-820,A1,N1,2-1
Tb427-821,A3,N3,1
Tb427-822,A2,N2,2-2
Tb427-823,B2,N4,3
Tb427-824,A2,N2,1
Tb427-825,B1,N4,1
Tb427-826,A3,N3,2-2
Tb427-832,A2,N2,2-2
Tb427-9,B2,N4,3
